Sl_No,Date,Startup_Name,Industry,Sub_Industry,Investors,Investment_Type,Amount_in_USD,Amount,City
1810,2016-04-26,Roposo,eCommerce,Social Fashion ECommerce Discovery platform,Bertelsmann India Investments,Private Equity,"1,50,00,000",15000000,Gurgaon
1811,2016-04-27,MilkBasket,Consumer Internet,Micro Grocery Delivery Platform,EVC Ventures,Seed Funding,"5,00,000",500000,Gurgaon
1814,2016-04-27,ICHR,Consumer Internet,Mobile based Children health Information app,Undisclosed,Seed Funding,"4,50,000",450000,New Delhi
1816,2016-04-28,The Wedding Brigade,Consumer Internet,Online Wedding Information Portal,Blume Ventures & Other unnamed Investors,Seed Funding,"6,00,000",600000,Mumbai
1817,2016-04-28,DocsApp,Consumer Internet,Online Doctor Discovery & Chat platform,"Rebright Partners, Anand Rajaraman, Venky Harinarayan",Private Equity,"12,00,000",1200000,Bengaluru
1818,2016-04-29,Impact Guru,Consumer Internet,Online Crowdfunding platform for NGOs & Social Projects,"RB Investments, Fundnel",Seed Funding,"5,00,000",500000,Mumbai
1819,2016-04-29,LetReach,eCommerce,ECommerce SAAS Solutions,vCommission,Private Equity,"1,00,000",100000,New Delhi
1824,2016-03-02,MoMark,Consumer Internet,Mobile Wallet Aggregation platform,YourNest Angel Fund,Private Equity,"6,00,000",600000,Noida
1826,2016-03-02,Systemantics,Technology,Industrial robots maker,"Nandan Nilekani, Accel Partners",Private Equity,"14,00,000",1400000,Bengaluru
1828,2016-03-03,Imarticus Learning,Education,Financial Services & Analytics Education Institute,"Blinc Advisors, Amit Nanavati, Tashwinder Singh, Taranjit Jaswal, Amit Khanna",Private Equity,"10,00,000",1000000,Mumbai
1829,2016-03-03,Shouut,Consumer Internet,Social Discovery Mobile app,Undisclosed investor,Seed Funding,"5,00,000",500000,New Delhi
1831,2016-03-04,Aahaa,ECommerce,Office Products Super Store,"YourNest Angel Fund,",Private Equity,"10,00,000",1000000,Chennai
1833,2016-03-04,FTCash,Consumer Internet,Mobile Payments Platform,IvyCap Ventures,Seed Funding,"1,50,000",150000,Kolkata
1835,2016-03-04,Zappka,Consumer Internet,Mobile App discovery and review platform,"Daman Soni, Rajat Gupta & Others",Seed Funding,"1,00,000",100000,Gurgaon
1837,2016-03-04,medECUBE,Healthcare,Healthcare related Services provider,Artiman Ventures,Private Equity,"40,00,000",4000000,Gurgaon
1838,2016-03-07,N.O.W,Consumer Internet,Bike Taxi Service & Hyperlocal Delivery App,"Ruchirans Jaipuria, Anuj Sanghi",Seed Funding,"5,00,000",500000,Noida
1839,2016-03-07,Ninjacart,ECommerce,B2B marketplace for Farmers & Retailers,"Accel Partners, Qualcomm Ventures, M&S Partners, Zop Smart",Private Equity,"30,00,000",3000000,Bengaluru
1840,2016-03-07,Reach,Consumer Internet,Cross Platform P2P file sharing mobile app,"Rebright Partners, Sol Primero, Sudhir Anandarao, Ankur Warikoo, Ankur Singla",Seed Funding,"5,00,000",500000,Bengaluru
1841,2016-03-07,Vanity Cube,Consumer Internet,Hyperlocal Beauty Services platform,Unicorn Ventures,Seed Funding,"2,50,000",250000,New Delhi
1843,2016-03-07,Medidaili,Consumer Internet,Medical Support service platform,Undisclosed private investors,Seed Funding,"1,00,000",100000,Bengaluru
1847,2016-03-08,LoveCycles,Consumer Internet,Women\\xe2\\x80\\x99s health Tracker,Prime Venture Partners,Seed Funding,"7,50,000",750000,Bengaluru
1848,2016-03-08,Kartrocket,ECommerce,ECommerce SAAS platform,"Undisclosed Japanese investor, Bertelsmann India Investments, Nirvana Digital India Fund, Nirvana Digital Investment Holding Co Ltd, 500 Start-Ups",Private Equity,"80,00,000",8000000,New Delhi
1849,2016-03-08,dunzo,Consumer Internet,Daily Task Management App,"Aspada Investment Advisors, Blume Ventures.",Seed Funding,"6,50,000",650000,Bengaluru
1851,2016-03-09,SmartVizX,Technology,Virtual Reality Solutions,"Indian Angel Network, Stanford Angels, Entrepreneurs India",Seed Funding,"5,00,000",500000,Noida
1852,2016-03-09,MyGubbi,Real Estate,Interior Design & Home D\\xc3\\xa9cor Solutions,"Vipul Parekh, ajesh K Murthy,",Seed Funding,"25,00,000",2500000,Bengaluru
1853,2016-03-09,Nukkad Shops,Consumer Internet,Hyperlocal Grocery Delivery Service,PurpleTalk Inc,Seed Funding,"10,00,000",1000000,Hyderabad
1855,2016-03-09,Justride,Consumer Internet,Self Drive Car Rental,Dheeraj Jain & Other angel investors,Seed Funding,"4,00,000",400000,Mumbai
1857,2016-03-10,Big Fish Ventures,Food & Beverage,premium dining lounges Chain,Undisclosed investors,Private Equity,"1,11,00,000",11100000,New Delhi
1859,2016-03-10,Icertis,Technology,Contract Management Software Solutions platform,"Ignition Partners, Greycroft Partners, Fidelity Growth Partners India",Private Equity,"1,50,00,000",15000000,Pune/Seattle
1860,2016-03-10,Supplified,ECommerce,Construction material eTailer,Mohit Goel,Seed Funding,"10,00,000",1000000,New Delhi
1862,2016-03-14,PinkBlue,ECommerce,Medical Supplies eTailer,"Hari Krishna, Ajay Modani, Dr V Ravinder, Anirudh Rastogi, Abhishek Jain, Rakesh Gakhar, Rajeev Mudumba, Nagendra Prasad Bhanuprakash",Seed Funding,"2,23,608",223608,Bengaluru
1863,2016-03-14,TruckingCube,Logistics,"Domestic, Commercial, and Industrial Goods Movers",Agarwal Movers Group,Private Equity,"1,49,00,000",14900000,New Delhi
1865,2016-03-15,FlipClass,Consumer Internet,Tutor Search Platform,"S Chand and Co Pvt Ltd, Blume Ventures",Private Equity,"10,00,000",1000000,Bengaluru
1866,2016-03-15,Proximit,Technology,Advertising Technology,Funding through 1Crowd platform,Seed Funding,"1,50,000",150000,Pune
1867,2016-03-15,WithMe,Consumer Internet,Personalized Fashion App,"Alex Kuruvilla, Pradeep Guha, Saket Dhankar, Rajan Pandhare",Seed Funding,"2,50,000",250000,Gurgaon
1868,2016-03-16,Gapoon,Consumer Internet,Hyperlocal Home Maintenance services,"Chandrashekar Tallapragada, Pankaj Kapoor",Seed Funding,"1,80,000",180000,Bengaluru
1871,2016-03-16,Wealthy,Consumer Internet,Online Investment management portal,"Zishaan Hayath, Abhishek Goyal, Arjun and Rohan Malhotra, Harpreet Singh Grover, Gagan Dugal",Seed Funding,"2,50,000",250000,Bengaluru
1872,2016-03-17,Pramati,Healthcare,Specialized Patient Care platform,Undisclosed investors,Seed Funding,"2,00,000",200000,Noida
1873,2016-03-17,Qlivery,Consumer Internet,Ondemand Concierge Service,Swastika Company Ltd,Seed Funding,"2,30,000",230000,Gurgaon
1874,2016-03-17,HealthEnablr,Consumer Internet,Doctor Discovery and booking platform,Undisclosed investors,Seed Funding,"8,00,000",800000,Mumbai
1875,2016-03-17,Liftiee,Consumer Internet,Car/ bike Pooling App,"Rannvijay Singh, Anita Hassanandani",Seed Funding,"1,08,000",108000,Mumbai
1876,2016-03-18,Hello Curry,Food & Beverage,Quick Service Restaurant Chain,Sashi Reddi & Other unnamed investors,Private Equity,"15,00,000",1500000,Hyderabad
1877,2016-03-19,goSporto,Consumer Internet,Online Sports discovery and booking platform,Naveen Gupta,Seed Funding,"30,000",30000,New Delhi
1880,2016-03-21,Room On Call,Consumer Internet,Budget hotel aggregator,CASHurDRIVE Marketing Pvt Ltd,Private Equity,"20,00,000",2000000,Gurgaon
1881,2016-03-22,Byju\\xe2\\x80\\x99s,Consumer Internet,Educational Video Content Creator,"Sequoia India, Sofina",Private Equity,"7,50,00,000",75000000,Bengaluru
1882,2016-03-22,BigBasket,eCommerce,Online Grocery Shop,Abraaj Group,Private Equity,"15,00,00,000",150000000,Bengaluru
1883,2016-03-22,DrivoJoy,Consumer Internet,On-demand 2-wheeler Servicing platform,"Indian Angel Network, Tracxn Labs & Others",Seed Funding,"6,00,000",600000,Bengaluru
1886,2016-03-22,CreditSeva,Consumer Internet,Online Credit management tools,"Pix Vine Capital, Infocomm Development Authority of Singapore",Seed Funding,"3,60,000",360000,Hyderabad
1888,2016-03-23,Endless Robotics,Technology,Interior Painting Automation,"Devidas Desai, Vipul Gautam, Singapore Angel Network",Seed Funding,"1,00,000",100000,Hyderabad
1889,2016-03-23,SP Robotics,Technology,Robotic Classes for Students,"Indian Angel Network,",Seed Funding,"3,00,000",300000,Chennai
1891,2016-03-23,eKincare,Consumer Internet,Healthcare related solutions,"BitChemy Ventures, Maheshwari Investments Pvt Ltd, Anshoo Gaur, Rama Krishna Reddy, Sandeep Seerapu",Private Equity,"3,30,000",330000,Hyderabad
1893,2016-03-23,Wheelstreet,Consumer Internet,Online Bike Rental platform,Broadbean Capital services,Private Equity,"5,00,000",500000,Bengaluru
1894,2016-03-24,Horntell,Consumer Internet,Unified Push Notification service,"Bharanidharan Viswanathan, Sanjiv Mittal, Shobhit Shukla, Rahul Agarwal",Seed Funding,"1,50,000",150000,Gurgaon
1895,2016-03-28,Schoolkart,eCommerce,Online Marketplace for Schools,Undisclosed investors,Seed Funding,"3,00,000",300000,Noida
1897,2016-03-29,Babygogo,Consumer Internet,Child healthcare experts aggregator mobile app,"Rajul Garg, Daljit Singh, Aditya Vij, Kishore Kumar, Shuchin Bajaj",Seed Funding,"3,00,000",300000,New Delhi
1898,2016-03-29,Veritas Finance,Finance,Asset Based Lending platform,Sarva Capital,Private Equity,"47,00,000",4700000,Chennai
1899,2016-03-29,QikShip,Consumer Internet,Mobile based Logistics provider,undisclosed investors,Seed Funding,"2,00,000",200000,New Delhi
1900,2016-03-29,FixNix,Consumer Internet,GRC SAAS Platform,Jay Vijayan,Seed Funding,"5,00,000",500000,Chennai
1902,2016-03-30,Touchkin,Healthcare,Predictive Healthcare platform,"Alok Mittal, Amit Gupta, Anuj Srivastava, Himanshu Aggarwal, Raghunandan G, Puneet Agarwal",Seed Funding,"4,00,000",400000,Bengaluru
1906,2016-02-02,Altizone,Technology,IoT & M2M Solutions,"Wipro Ventures,\\xc2\\xa0 Lumis Partners",Private Equity,"40,00,000",4000000,Pune
1908,2016-02-02,Strike,Consumer Internet,Mobile Email productivity tool,Multiple investors through Ten Minute Million competition,Seed Funding,"22,500",22500,Bengaluru
1910,2016-02-02,Gamooz,Technology,Augmented Reality Solutions,Multiple investors through Ten Minute Million competition,Seed Funding,"22,500",22500,Gurgaon
1911,2016-02-02,SoundSurround,Technology,Audio Technology Solutions,Multiple investors through Ten Minute Million competition,Seed Funding,"22,500",22500,Mumbai
1912,2016-02-03,Mazkara,Consumer Internet,Beauty & Wellness Platform,Dunamis Ventures Pte Ltd.,Seed Funding,"10,00,000",1000000,Pune / Dubai
1913,2016-02-03,RoadGods,ECommerce,Auto Spare Parts eTailer,Green House Ventures (GHV),Seed Funding,"1,00,000",100000,New Delhi
1914,2016-02-03,Pindropmusic,Consumer Internet,Music Discovery Mobile App,Green House Ventures (GHV),Seed Funding,"1,00,000",100000,Noida
1915,2016-02-03,Woodpie,Consumer Internet,Book Recommendation Service,Ingram Content Group,Seed Funding,"30,000",30000,Bengaluru
1916,2016-02-04,Perfumery,ECommerce,Fragrances & Perfume eTailer,Oranda Global & Others,Seed Funding,"30,000",30000,New Delhi
1918,2016-02-05,ZenDrive,Technology,Safe Driving Data & Analytics platform,"Sherpa Capital, Nyca Partners and Thomvest Ventures",Private Equity,"1,35,00,000",13500000,Bangalore / SFO
1922,2016-02-05,Gingercrush,Ecommerce,Personalized Products & Merchandize eTailer,"Saha Fund, TV Mohandas Pai, Zia Mody, Mumbai Angels, Ananda Kallugadde, Rakesh Desai, Rakesh Malhotra",Private Equity,"10,00,000",1000000,Vadodara
1923,2016-02-05,American Vision,Consumer Internet,Optical Store Aggregator Platform,Undisclosed investors,Seed Funding,"81,000",81000,Pune
1924,2016-02-05,DawaiLelo,Consumer Internet,Healthcare Services & Online Pharmacy Mobile App,Undisclosed investors,Seed Funding,"52,000",52000,Varanasi
1925,2016-02-06,Heads Up For Tails,Ecommerce,Pet Products eTailer,Undisclosed investors,Seed Funding,"10,00,000",1000000,New Delhi
1928,2016-02-08,iStyleYou,Consumer Internet,Personal Fashion Stylist App,Green House Ventures (GHV),Seed Funding,"1,00,000",100000,Gurgaon
1929,2016-02-08,AdUrCup,Consumer Internet,Ad Network,Green House Ventures (GHV),Seed Funding,"1,00,000",100000,New Delhi
1933,2016-02-08,Xpressbees,ECommerce,ECommerce Logistics solutions,"SAIF Partners, IDG Ventures India, Vertex Ventures, Valiant Capital",Private Equity,"1,25,00,000",12500000,Pune
1938,2016-02-10,Capzest,Consumer Internet,Digital Lending Platform,Lion Ventures,Seed Funding,"2,00,000",200000,Mumbai
1940,2016-02-10,Affimity,Consumer Internet,Social Networking platform,undisclosed investors,Seed Funding,"12,00,000",1200000,Bengaluru
1941,2016-02-10,Anandakanda,Technology,Medicine Intake Reminder System,undisclosed investors,Seed Funding,"1,50,000",150000,Pune
1946,2016-02-12,ActOnMagic,Technology,Cloud Analytics and Management Products,Jayabalan Subramanian,Seed Funding,"1,25,000",125000,Bengaluru
1947,2016-02-12,Bonhomia,Food & Beverage,premium Tea and Coffee,"Alok Rawat, Grey Orange Robotics",Seed Funding,"10,00,000",1000000,New Delhi
1948,2016-02-12,iGrenEnergi,Technology,Solar Power Solutions,Sunil Mehta,Seed Funding,"10,00,000",1000000,Mumbai
1949,2016-02-12,RKSV,Consumer Internet,Online Stock Trading Platform,Kalaari Capital,Private Equity,"40,00,000",4000000,Mumbai
1950,2016-02-15,Aasaanjobs,Consumer Internet,Online Recruitment Marketplace,"Aspada Advisors, IDG Ventures,\\xc2\\xa0 Inventus Capital",Private Equity,"50,00,000",5000000,Mumbai
1951,2016-02-15,Snapdeal,eCommerce,Horizontal Online Marketplace,Ontario Teachers\\xe2\\x80\\x99 Pension Plan & Others,Private Equity,"20,00,00,000",200000000,New Delhi
1954,2016-02-15,GoYaNo,Consumer Internet,Events & Restaurant Discovery Marketplace App,Mukesh Kumar Gupta,Seed Funding,"50,000",50000,Gurgaon
1955,2016-02-15,RentSher,Consumer Internet,Online Household Product Rental platform,"Vaibhav Doshi, Abhay Singhal, Vibhu Garg, Joby Babu, Abhishek Acharya, Manish Shah",Seed Funding,"3,00,000",300000,Bengaluru
1956,2016-02-15,Buddy,Finance,Micro Lending Platform for eCommerce purchases,"Blume Ventures,\\xc2\\xa0 Tracxn Labs",Seed Funding,"5,00,000",500000,Bengaluru
1958,2016-02-16,TableHero,Consumer Internet,Dynamic Restaurant Website creator,"GrowX Ventures, Kunal Shah, Sandeep Tandon, Haresh Chawla, Powai Lake Ventures, Globevestor",Seed Funding,"10,00,000",1000000,Bengaluru
1959,2016-02-16,BetterPlace,Technology,Data analytics based Verification services Platform,Unitus Seed Fund,Seed Funding,"9,70,000",970000,Bengaluru
1961,2016-02-16,icustommadeit,eCommerce,Professional Custom creators Marketplace,"Brand Capital, Siddhivinayak Skyscrapers, Dinesh R. Challa",Private Equity,"40,00,000",4000000,Pune
1965,2016-02-17,GameZop,Technology,Mobile Gaming Platform,"KWAN Entertainment & Marketing Solutions, Powerhouse Ventures & Others",Seed Funding,"3,50,000",350000,New Delhi
1967,2016-02-17,The Viral Fever,Consumer Internet,Independent Online Video production company,Tiger Global,Private Equity,"1,00,00,000",10000000,Mumbai
1968,2016-02-17,Avanti Learning,Education,Private Coaching Classes,Michael & Susan Dell Foundation,Private Equity,"50,00,000",5000000,New Delhi
1971,2016-02-18,HealthKumbh,Consumer Internet,Health related Information portal,Undisclosed investor,Seed Funding,"73,000",73000,Ahmedabad
1974,2016-02-18,Careongo,ECommerce,Online Pharmacy store,Farooq Oomerbhoy & Other angel investors,Seed Funding,"3,00,000",300000,New Delhi
1975,2016-02-18,Ark Robot,Technology,Warehouse Automation,Qualcomm (Through QPrize Contest),Seed Funding,"3,50,000",350000,Bengaluru
1976,2016-02-19,Jaypore,ECommerce,Ethnic Products marketplace,Aavishkaar,Private Equity,"50,00,000",5000000,New Delhi
1979,2016-02-19,Advantage Club,Consumer Internet,mobile platform for corporate employee benefits,Purvi Ventures & Others,Seed Funding,"4,00,000",400000,Gurgaon
1981,2016-02-22,Baby Berry,Consumer Internet,Parenting Mobile app,Nitin Bagmane & Other undisclosed investors,Seed Funding,"10,00,000",1000000,Bengaluru
1982,2016-02-22,Magicpin,Consumer Internet,Hyperlocal Discover Mobile App,Lightspeed India,Private Equity,"30,00,000",3000000,New Delhi
1983,2016-02-22,First Eat,Consumer Internet,Healthy Food Delivery platform,Undisclosed investor,Seed Funding,"1,00,000",100000,New Delhi
1985,2016-02-22,Taskbob,Consumer Internet,Hyperlocal Handyman services platform,"IvyCap Ventures, Orios Venture Partners, Mayfield India",Private Equity,"45,00,000",4500000,Mumbai
1986,2016-02-22,Styledotme,Consumer Internet,Mobile Fashion App,Indian Angel Network,Seed Funding,"37,000",37000,New Delhi
1988,2016-02-23,CupoNation,Consumer Internet,Deals and Discount platform,"Rocket Internet AG, Holtzbrink Ventures, New Enterprise Associates (NEA), e.ventures, ru-Net, Deutsche Telekom Strategic Investments (DTSI), Silicon Valley Bank",Private Equity,"1,10,00,000",11000000,Gurgaon
1990,2016-02-24,Sayfix,Consumer Internet,Hyperlocal Home Services Provider,Yajnanarayana Kammaje,Seed Funding,"1,60,000",160000,Bengaluru
1992,2016-02-24,NoBroker,Consumer Internet,Peer to peer property listing platform,"Beenext, Digital Garage, Beenos, Qualgro, Mamoru Taniya, SAIF Partners",Private Equity,"1,00,00,000",10000000,Bengaluru
1993,2016-02-24,AppilyEver,Consumer Internet,Online wedding services marketplace,"Varun Aggarwal, Suresh Venkat, Raj Y",Seed Funding,"4,00,000",400000,Hyderabad
1994,2016-02-24,Pocketin,Consumer Internet,Hotel reservations & Deal platform,Swastika Company Ltd,Seed Funding,"1,50,000",150000,Noida
1996,2016-02-25,OfBusiness,eCommerce,B2B commerce Marketplace,Matrix Partners India,Private Equity,"50,00,000",5000000,Gurgaon
1998,2016-02-25,Juspay,Consumer Internet,Digital Payments solutions,"Accel Partners, Ashish Hemrajani, Parikshit Dar, Rajesh Balpande",Private Equity,"58,00,000",5800000,Bengaluru
1999,2016-02-25,Funcart,eCommerce,Party Supplies Etailer,Undisclosed HNIs,Seed Funding,"70,000",70000,New Delhi
2000,2016-02-26,Freedom Smart Labs,Technology,IoT retail solutions,Kapil Goel,Seed Funding,"1,45,000",145000,New Delhi
2001,2016-02-26,EduBridge,Consumer Internet,Skill development and vocational training platform,"Insitor Impact Asia Fund, Acumen Fund",Private Equity,"25,00,000",2500000,Mumbai
2003,2016-02-29,Hopscotch,eCommerce,Baby & Kids Products Online Flash sales platform,Eduardo Saverin,Private Equity,"1,30,00,000",13000000,Mumbai
2009,2016-01-04,B9 Beverages,Food & Beverage,Craft Beer manufacturing company,"Sequoia Capital, Kunal Bahl, Rohit Bansal, Deepinder Goyal, Ashish Dhawan, Mayank Singhal",Private Equity,"60,00,000",6000000,New Delhi
2011,2016-01-05,MyChild App,Education,Child Disorder Information & Education,"Samir Bangara, Anisha Mittal, Amit Gupta, Pallav Nadhani, Lalit Mangal, Arihant Patni, Dr. Ritesh Malik, Deobrat Singh, Saurab Paruthi, Singapore Angel Network.",Seed Funding,"1,00,000",100000,Bhopal
